target_va,name,source_exe,similarity,overlap
0x1422ce7c0,BSTArrayBase::InsertUninitialized,Fallout4_OG_1_10_163.exe,0.5209,34
0x1422ce920,BSTArrayBase::SetAllocSize,Fallout4_OG_1_10_163.exe,0.4848,16
0x1422cf0b0,BSCRC32::GenerateCRC_4,Fallout4_OG_1_10_163.exe,0.5714,20
0x1422d62c0,ZeroOverheadHeap::ZeroOverheadHeap,Fallout4_OG_1_10_163.exe,0.4899,12
0x1422d6700,CompactingStore::Store::MergeFrom,Fallout4_OG_1_10_163.exe,0.5992,60
0x1422d6870,CompactingStore::Store::MergeBlockList,Fallout4_OG_1_10_163.exe,0.6719,86
0x1422d6ac0,CompactingStore::Store::PushFree,Fallout4_OG_1_10_163.exe,0.7473,149
0x1422d70d0,CompactingStore::Store::RequestCompact,Fallout4_OG_1_10_163.exe,0.4688,30
0x1422d71d0,CompactingStore::Store::TryDecommit,Fallout4_OG_1_10_163.exe,0.6098,25
0x1422d73e0,CompactingStore::Store::FlushBatchDeallocates,Fallout4 AE.exe,0.5500,33
0x1422d8c30,`anonymous_namespace'::RebalanceAfterRemove<`anonymous_namespace'::LeftRight>,Fallout4 AE.exe,0.5431,63
0x1422d8e00,`anonymous_namespace'::RebalanceAfterRemove<`anonymous_namespace'::LeftRight>,Fallout4 AE.exe,0.5431,63
0x14231d6e0,swprintf_s<260>,Starfield.exe,0.5000,7
0x14231d740,swprintf_s<260>,Starfield.exe,0.5000,7
0x142363f30,hknpWorld::Func12_v3,Starfield.exe,0.4243,18
